
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000190                       # Number of seconds simulated (Second)
simTicks                                    189768328                       # Number of ticks simulated (Tick)
finalTick                                   189768328                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.28                       # Real time elapsed on the host (Second)
hostTickRate                                 83412882                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1172476                       # Number of bytes of host memory used (Byte)
simInsts                                       566570                       # Number of instructions simulated (Count)
simOps                                        1004288                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   249028                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441421                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           376                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           504704                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1114658                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       12                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1081179                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    125                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               110367                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            144029                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  11                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              470152                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.299637                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.643964                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     98.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                     33      0.84%     98.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                    19      0.48%     99.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead                13      0.33%     99.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite               11      0.28%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass         1094      0.10%      0.10% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu       1038688     96.07%     96.17% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult          533      0.05%     96.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv            21      0.00%     96.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd          141      0.01%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     96.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd         1083      0.10%     96.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     96.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu          171      0.02%     96.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp           18      0.00%     96.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt           80      0.01%     96.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc          255      0.02%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     96.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt           15      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult           16      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     96.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead        18263      1.69%     98.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite        18932      1.75%     99.83% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead          227      0.02%     99.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite         1642      0.15%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total        1081179                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.142204                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                                3924                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.003629                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                  2626963                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 1219202                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         1062027                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                      9595                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                     5849                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses             4577                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     1079197                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                         4812                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                          5661                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                          10696                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                        20163                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                    1114670                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                      160                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                        19563                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                       21576                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                         6                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                             0                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                        20023                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                 14                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect               3321                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect            3322                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                     6643                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iqFullEvents_ra                          0                       # Number of times the IQ has become full during runahead, causing a stall (Count)
system.cpu.numInsts                           1069648                       # Number of executed instructions (Count)
system.cpu.loadInsts                            17748                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     11530                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                              38645                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         151013                       # Number of branches executed (Count)
system.cpu.numStoreInsts                        20897                       # Number of stores executed (Count)
system.cpu.numRate                           2.119357                       # Inst execution rate ((Count/Cycle))
system.cpu.loadsRA                                443                       # Number of load instructions executed in runahead mode (Count)
system.cpu.instsToCommit                      1067641                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                     1066604                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                        873730                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                       1445622                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            2.113326                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.604397                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             312                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           34552                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                      566570                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                       1004288                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.890806                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.890806                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.122579                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.122579                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    1401626                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                    892202                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                        8135                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                       2931                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                      924251                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                     478914                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                    348289                       # number of misc regfile reads (Count)
system.cpu.robFull                                520                       # Number of times that the ROB becomes full (Count)
system.cpu.enterRA                                 76                       # Number of times the CPU enters runahead (Count)
system.cpu.fetchedRA                             6470                       # Number of instructions fetched in runahead mode. (Count)
system.cpu.totalCyclesRA                         6661                       # total number of cycles the CPU spends in runahead (Cycle)
system.cpu.cyclesAvgRA                         87.645                       # average number of cycles the CPU spends in runahead ((Cycle/Count))
system.cpu.cyclesRobEmptyRA                      4450                       # total number of cycles when ROB would be empty in runahead (Cycle)
system.cpu.pctRobEmptyRA                       66.807                       # percentage of cycles spent in runahead, when ROB would be empty (Ratio)
system.cpu.totalInsertedRA                       5986                       # total number of instructions inserted into ROB in runahead (Count)
system.cpu.insertedAvgRA                       78.763                       # average number of instructions inserted into ROB in runahead (Ratio)
system.cpu.maxAtRobHd                               9                       # maximum number of cycles one instruction spends at the head of ROB in runahead (Count)
system.cpu.totalDecodedRA                        5941                       # total number of instructions decoded in runahead (Count)
system.cpu.decodedAvgRA                        78.171                       # average number of instructions decoded in runahead (Ratio)
system.cpu.iqfull_whenenterra                       0                       # Number of times that iq is full when enter runahead (Count)
system.cpu.MemDepUnit__0.insertedLoads          19563                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores         21576                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         6184                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         5481                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  172114                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            165685                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              5600                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               106559                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                  105604                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.991038                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                     651                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             526                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 24                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              502                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           95                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts          101763                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts              5557                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples       453795                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.219214                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.242689                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0          106840     23.54%     23.54% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          170007     37.46%     61.01% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2            9588      2.11%     63.12% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           19699      4.34%     67.46% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4           46669     10.28%     77.75% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           74985     16.52%     94.27% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6            4467      0.98%     95.25% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7            1935      0.43%     95.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8           19605      4.32%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total       453795                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted               566570                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                1004288                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                       33956                       # Number of memory references committed (Count)
system.cpu.commit.loads                         14655                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     144597                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                       4259                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                     1001091                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   286                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          500      0.05%      0.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu       967674     96.35%     96.40% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult          522      0.05%     96.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           21      0.00%     96.46% # Class of committed instruction (Count)
