
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009299                       # Number of seconds simulated (Second)
simTicks                                   9299440680                       # Number of ticks simulated (Tick)
finalTick                                  9299440680                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    144.72                       # Real time elapsed on the host (Second)
hostTickRate                                 64256902                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1168964                       # Number of bytes of host memory used (Byte)
simInsts                                      3640936                       # Number of instructions simulated (Count)
simOps                                        5708428                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    25158                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      39444                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           376                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         24732556                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6120181                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       75                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6000474                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    470                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               411813                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            575924                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  56                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            24695513                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.242978                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.712737                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     99.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                     36      0.40%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                    19      0.21%     99.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead                 9      0.10%     99.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite               11      0.12%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass         5041      0.08%      0.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu       4751990     79.19%     79.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult          570      0.01%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv            21      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd          139      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp            0      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt            0      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult            0      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc            0      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv            0      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc            0      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     79.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd        72658      1.21%     80.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     80.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu          158      0.00%     80.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp           18      0.00%     80.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt           78      0.00%     80.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc          249      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt           21      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult           22      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     80.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead       561169      9.35%     89.86% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite       534738      8.91%     98.77% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead          139      0.00%     98.78% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite        73463      1.22%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total        6000474                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         0.242614                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                                9100                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.001517                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 36284224                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 6299987                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         5737068                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                    421806                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                   232109                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses           203398                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     5793553                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       210980                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                         21013                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                       17183843                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                      1590884                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                    6120256                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                      212                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                       564992                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                      609352                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                        28                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                        123060                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                      1242063                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                 29                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect              14142                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect           10548                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                    24690                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                           5959374                       # Number of executed instructions (Count)
system.cpu.loadInsts                           559416                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     41099                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            1167494                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         382816                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       608078                       # Number of stores executed (Count)
system.cpu.numRate                           0.240953                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                      5948746                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                     5940466                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                       4042653                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                       8409405                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            0.240188                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.480730                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             312                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           37043                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     3640936                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                       5708428                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               6.792911                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          6.792911                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.147212                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.147212                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   10070784                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   4815751                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                      420175                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                     137225                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                     3404768                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    3837660                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   1958050                       # number of misc regfile reads (Count)
system.cpu.robFull                             786580                       # Number of times that the ROB becomes full (Count)
system.cpu.totalRobSizeAtEnterRA             14897512                       # Sum of number of entries in the ROB when the CPU would enter runahead (Count)
system.cpu.totalRobSizeAtExitRA              15744979                       # Sum of number of entries in the ROB when the CPU would exit runahead (Count)
system.cpu.enterRA                              95653                       # number of times the CPU would enter runahead (Count)
system.cpu.avgRobSizeAtEnterRA                155.745                       # Average number of entries in the ROB when the CPU would enter runahead (Ratio)
system.cpu.avgRobSizeAtExitRA                 164.605                       # Average number of entries in the ROB when the CPU would exit runahead (Ratio)
system.cpu.robFullRA                             4502                       # how many times the ROB becomes full, when CPU would be in runahead (Count)
system.cpu.totalInsertedRA                     847467                       # total number of instructions inserted into ROB when the CPU would be in runahead (Count)
system.cpu.insertedAvgRA                        8.860                       # average number of instructions inserted into ROB when the CPU would be in runahead (Ratio)
system.cpu.totalDecodedRA                      719024                       # total number of instructions decoded when the CPU would be in runahead (Count)
system.cpu.decodedAvgRA                         7.517                       # average number of instructions decoded when the CPU would be in runahead (Ratio)
system.cpu.fullROBstalls                       777500                       # number of stalls caused by full ROB (Count)
system.cpu.MemDepUnit__0.insertedLoads         564992                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        609352                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       371440                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       413037                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  460856                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            439514                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect             20935                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               321921                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                  320950                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.996984                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                     553                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             454                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 20                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              434                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           96                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts          411537                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              18                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             20845                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     24631930                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.231749                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.078347                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0        22582159     91.68%     91.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         1231066      5.00%     96.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          147288      0.60%     97.27% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           42960      0.17%     97.45% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4           60765      0.25%     97.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          230257      0.93%     98.63% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           16585      0.07%     98.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7            6749      0.03%     98.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          314101      1.28%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total     24631930                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              3640936                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                5708428                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     1145642                       # Number of memory references committed (Count)
system.cpu.commit.loads                        545743                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          12                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     359465                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                     189743                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                     5580220                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   280                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass         4527      0.08%      0.08% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      4491576     78.68%     78.76% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult          523      0.01%     78.77% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           21      0.00%     78.77% # Class of committed instruction (Count)
